iter	Logloss
252	0.384524095
253	0.3843823539
254	0.3842094853
255	0.3841486236
256	0.3838062179
257	0.383593984
258	0.3835646967
259	0.3834072527
260	0.3832323271
261	0.3830807003
262	0.3829131049
263	0.3827071093
264	0.3824449613
265	0.3824298363
266	0.3822827055
267	0.3820144722
268	0.3818047216
269	0.3815506132
270	0.3812929399
271	0.3810823868
272	0.3809332217
273	0.3808289475
274	0.3807352533
275	0.3803517206
276	0.3802361182
277	0.3801000198
278	0.3800753861
279	0.3800440391
280	0.3797948147
281	0.3797154065
282	0.3795141815
283	0.379196074
284	0.3791226619
285	0.3789682005
286	0.3787041561
287	0.3785722265
288	0.3783557567
289	0.3780894369
290	0.3778549462
291	0.3777770542
292	0.3776308992
293	0.3773521156
294	0.3772508828
295	0.3770550599
296	0.3769113098
297	0.376823501
298	0.3767133438
299	0.3765620915
300	0.3764467726
301	0.3764329613
302	0.37629373
303	0.3761483248
304	0.375926622
305	0.3755133204
306	0.3753978447
307	0.3751335871
308	0.374909865
309	0.3747875867
310	0.3745333667
311	0.3744713783
312	0.3744706606
313	0.374163667
314	0.373978095
315	0.3737946021
316	0.3737226214
317	0.3733725274
318	0.3732440552
319	0.3731787379
320	0.3731674195
321	0.3730042197
322	0.3727270506
323	0.3725780376
324	0.3723095209
325	0.372242477
326	0.3719805654
327	0.371816428
328	0.3716973374
329	0.3713593904
330	0.3713589536
331	0.3713321034
332	0.3712244933
333	0.3711755703
334	0.3709568705
335	0.3708748269
336	0.3707355514
337	0.3706273457
338	0.3704264026
339	0.370257417
340	0.3698195353
341	0.369472416
342	0.36926424
343	0.369240903
344	0.3691560849
345	0.3691220145
346	0.3689893069
347	0.3688170041
348	0.3686261373
349	0.3683918204
350	0.3682344721
351	0.3681898798
352	0.3680925993
353	0.3680699553
354	0.3680008704
355	0.3677663481
356	0.3676673997
357	0.3674910625
358	0.36729304
359	0.3671912591
360	0.367098
361	0.3670836899
362	0.3670422813
363	0.3668206287
364	0.3667802527
365	0.3665032076
366	0.3663689025
367	0.3662000908
368	0.3661890468
369	0.3658079039
370	0.365660942
371	0.3656571498
372	0.365523204
373	0.3654172993
374	0.3653049457
375	0.3652990636
376	0.3652572687
377	0.3651791854
378	0.365061164
379	0.3649662179
380	0.3649204498
381	0.3647081997
382	0.3645617637
383	0.3645255761
384	0.3643345209
385	0.3641246433
386	0.3640147569
387	0.3639515558
388	0.3638251545
389	0.3637000026
390	0.3636544783
391	0.3635726968
392	0.3634487159
393	0.3634486304
394	0.3632461956
395	0.3632229676
396	0.3631452872
397	0.3630238838
398	0.3629408917
399	0.3629315379
400	0.3628598922
401	0.3628598302
402	0.3626609973
403	0.3625601269
404	0.3624256048
405	0.3623141603
406	0.3622977365
407	0.3621048003
408	0.3619517687
409	0.3616234507
410	0.3616151514
411	0.3615031954
412	0.3613508087
413	0.3612723193
414	0.3610187441
415	0.3609104552
416	0.3606868078
417	0.3604524389
418	0.3602351607
419	0.3600363013
420	0.3598773434
421	0.3597129727
422	0.3596025409
423	0.3594619893
424	0.3593032452
425	0.3592813432
426	0.3592778838
427	0.3591875583
428	0.3591178362
429	0.3589271913
430	0.3588170355
431	0.3586679065
432	0.3585586834
433	0.3585148018
434	0.3584456432
435	0.3582970638
436	0.3582342269
437	0.3579376822
438	0.3577972167
439	0.3575931292
440	0.3575686374
441	0.3574689884
442	0.3572833481
443	0.3571300152
444	0.3570032166
445	0.3569519372
446	0.3568992352
447	0.3568225121
448	0.3567647806
449	0.356751872
450	0.3566871133
451	0.3563657854
452	0.3562263176
453	0.3561988583
454	0.3561683787
455	0.3560429508
456	0.3560352227
457	0.3559341438
458	0.3557701163
459	0.3555704969
460	0.3555704955
461	0.3553379618
462	0.3553106913
463	0.3552234061
464	0.3550893365
465	0.3549648908
466	0.3548593537
467	0.3546490975
468	0.3545138587
469	0.3544469842
470	0.3543179212
471	0.3540981377
472	0.3539444359
473	0.3537675582
474	0.3535467122
475	0.3535233176
476	0.353176655
477	0.3530513747
478	0.352907027
479	0.3526470527
480	0.3525818428
481	0.3525170248
482	0.3522996082
483	0.3522205337
484	0.3522096762
485	0.3520784128
486	0.3519768045
487	0.3518726961
488	0.3517300324
489	0.3515917831
490	0.351559074
491	0.3514736606
492	0.3513782347
493	0.3511670438
494	0.3510823956
495	0.3508678016
496	0.3507025157
497	0.3504630971
498	0.3504404081
499	0.3504071002
500	0.3502813761
501	0.3500693422
502	0.3499999403
503	0.3499241175
504	0.3498967565
505	0.349768107
506	0.3496648308
507	0.3496492754
508	0.3495387043
509	0.3493418764
510	0.3492473625
511	0.3490524232
512	0.3490009873
513	0.3489859591
514	0.3489183773
515	0.3488648456
516	0.3487939022
517	0.3486233267
518	0.3485897034
519	0.3484713056
520	0.3484615054
521	0.3482616342
522	0.3482151404
523	0.3480848679
524	0.3480611985
525	0.348007911
526	0.3479496742
527	0.3478151593
528	0.3476907953
529	0.3476518664
530	0.3474349611
531	0.3473092837
532	0.3472838323
533	0.3471608879
534	0.3471213428
535	0.3470023368
536	0.3469359222
537	0.3468408528
538	0.3466368165
539	0.34658286
540	0.3465232623
541	0.3463903175
542	0.3462685742
543	0.3461183932
544	0.3460138247
545	0.3459436302
546	0.3459174044
547	0.3458294373
548	0.3458025995
549	0.3456967711
550	0.3456160537
551	0.345481071
552	0.3452637119
553	0.3451757256
554	0.3450974757
555	0.3450802655
556	0.3449708552
557	0.3448690493
558	0.3448513829
559	0.3448366482
560	0.3447744955
561	0.3446913289
562	0.3446911988
563	0.3446246277
564	0.3444010598
565	0.3444010575
566	0.3443156194
567	0.3438986474
568	0.3437085155
569	0.3435980825
570	0.343405432
571	0.3433123244
572	0.3432046888
573	0.3430793911
574	0.3428817307
575	0.3427253909
576	0.3425007965
577	0.3423927486
578	0.3423277999
579	0.3421406518
580	0.3419949473
581	0.341830376
582	0.3416983912
583	0.341545712
584	0.3413276899
585	0.3411683779
586	0.3410937905
587	0.3409886168
588	0.3408909394
589	0.3407732015
590	0.3406233427
591	0.3406037526
592	0.3403957305
593	0.3402936128
594	0.3401856231
595	0.3399649112
596	0.3397356224
597	0.3396280086
598	0.3395244784
599	0.3392858631
