iter	Logloss
0	0.686357628
1	0.680690608
2	0.6749134721
3	0.6696641341
4	0.6640660932
5	0.6579184077
6	0.6546208792
7	0.6500780698
8	0.6443235499
9	0.6399985598
10	0.6343834432
11	0.6297811732
12	0.6248402881
13	0.6201740479
14	0.6155375122
15	0.611058714
16	0.6068534634
17	0.6033125973
18	0.5994728718
19	0.5970864467
20	0.5937647911
21	0.5901714026
22	0.5860122798
23	0.5828162577
24	0.5796626592
25	0.5763489109
26	0.5729732793
27	0.5692279956
28	0.5665121066
29	0.563343434
30	0.560423086
31	0.5567616011
32	0.5537692404
33	0.5504668485
34	0.548194
35	0.5458390702
36	0.5429845907
37	0.5398192989
38	0.5383280646
39	0.5356964962
40	0.5331955815
41	0.5306802765
42	0.5280169295
43	0.525466086
44	0.5231698848
45	0.5219140822
46	0.5194514547
47	0.5173555724
48	0.5159012102
49	0.5132759966
50	0.5108268577
51	0.508063778
52	0.5061156896
53	0.5041230674
54	0.5016673437
55	0.4998593422
56	0.4982947261
57	0.4965050811
58	0.4950296602
59	0.4929920973
60	0.4910010421
61	0.4890181285
62	0.4869447529
63	0.4855751333
64	0.4847867182
65	0.4828054033
66	0.4812261394
67	0.4799637639
68	0.4785661504
69	0.4770432782
70	0.4755243925
71	0.4741106074
72	0.4728053667
73	0.4716587756
74	0.4709209102
75	0.4698064042
76	0.4684302641
77	0.4678464926
78	0.466315907
79	0.4651078474
80	0.4645631164
81	0.4631117214
82	0.4620261267
83	0.4605100956
84	0.4593749536
85	0.4580462576
86	0.4571820063
87	0.4556936835
88	0.4546541761
89	0.453469977
90	0.4528074596
91	0.451618308
92	0.450384993
93	0.4494108341
94	0.4481758049
95	0.4473133446
96	0.4460349849
97	0.4456757895
98	0.4447254741
99	0.4438604322
100	0.4429461937
101	0.4421680085
102	0.441220135
103	0.4402314869
104	0.4389583647
105	0.4383290397
106	0.4377551962
107	0.4371278297
108	0.4363854121
109	0.4355935977
110	0.4345948173
111	0.4338196701
112	0.4330608
113	0.4325826874
114	0.4318528557
115	0.4308697769
116	0.4306340347
117	0.4295300796
118	0.4286967532
119	0.4278410709
120	0.4273242974
121	0.4266784631
122	0.4259327633
123	0.4254515623
124	0.4242550034
125	0.4238917893
126	0.4232493512
127	0.4226507789
128	0.4220043827
129	0.4216187845
130	0.4210976261
131	0.4203327545
132	0.4196082992
133	0.4189590799
134	0.4183606892
135	0.4178198725
136	0.4175653846
137	0.4172025328
138	0.4170411815
139	0.4170032222
140	0.4162032455
141	0.4155272432
142	0.4150416789
143	0.4145853754
144	0.4140753691
145	0.4135936371
146	0.4129867441
147	0.4127396704
148	0.4123537163
149	0.4122324702
150	0.4119019367
151	0.4117091239
152	0.4110209085
153	0.4105953352
154	0.4102176373
155	0.4098796704
156	0.4091581778
157	0.4091084377
158	0.4086443779
159	0.4082958737
160	0.4078956739
161	0.4074419281
162	0.4067772365
163	0.4064199073
164	0.4061088049
165	0.4059381303
166	0.4056041828
167	0.4052434763
168	0.4046964104
169	0.4042744586
170	0.4039035558
171	0.4035436095
172	0.4028527355
173	0.4023763742
174	0.4018206292
175	0.4015994494
176	0.4011349011
177	0.400689579
178	0.4005297782
179	0.4001057488
180	0.3997025674
181	0.3993878707
182	0.3992849968
183	0.3991550688
184	0.3990866424
185	0.39898686
186	0.3988231648
187	0.3983829684
188	0.3980781511
189	0.3980287176
190	0.3977716088
191	0.3975257429
192	0.3973309701
193	0.3973191109
194	0.3970315685
195	0.3969859112
196	0.3965026182
197	0.3963859135
198	0.3963466747
199	0.3961897954
200	0.3960193718
201	0.3953217985
202	0.3949290061
203	0.3948011387
204	0.394581129
205	0.3945349328
206	0.3943850065
207	0.3941528061
208	0.3937636428
209	0.3936814633
210	0.3933798503
211	0.3930884029
212	0.3928019606
213	0.3927438402
214	0.3924285541
215	0.3920879244
216	0.3920808154
217	0.3919481727
218	0.3917052255
219	0.3914587986
220	0.3911043193
221	0.3908630836
222	0.3906229329
223	0.3903894409
224	0.3901486234
225	0.3898738012
226	0.3894996399
227	0.3890366801
228	0.3886969109
229	0.3886916348
230	0.3882811057
231	0.388190568
232	0.3879936749
233	0.3879097511
234	0.3876589445
235	0.3874942954
236	0.3873577297
237	0.3871618093
238	0.3866746945
239	0.386444963
240	0.386200778
241	0.3861757085
242	0.3861202403
243	0.3860345453
244	0.3860305558
245	0.385699536
246	0.3855571826
247	0.3853648886
248	0.3851777618
249	0.3848844259
250	0.3848504083
251	0.3845937978
